lambda,beta_age,beta_weight,beta_protein,rmse_train,rmse_test,r2_train,r2_test,mae_train,mae_test
250,4.024780736885127,0.46506332217315394,0.7439135293587542,8.27676899295238,9.308305400143919,0.5076217397407475,0.41095407811530016,6.7606031388131225,6.863920601359913
251,4.01503562278378,0.4644225397132154,0.7422009573230404,8.28447263360434,9.315306623888073,0.506704746549294,0.41006764539472895,6.767622855876544,6.8701710978427055
252,4.005337704624161,0.46378250040058483,0.7404962473702698,8.29214418931879,9.322279841219519,0.5057907247717008,0.4091840961129579,6.774745908794839,6.876705685326573
253,3.9956866395154362,0.4631432159698516,0.7387993455220125,8.299783843072829,9.329225200655447,0.5048796631919459,0.40830341939705994,6.781845162147528,6.883208851640066
254,3.986082087888636,0.46250469787689685,0.7371101982924567,8.307391776708501,9.336142849947224,0.5039715506051177,0.4074256043834533,6.788910472610395,6.8896808234303535
255,3.9765237134564217,0.461866957304246,0.7354287526828064,8.314968170936492,9.343032936079524,0.5030663758184276,0.4065506402189325,6.795942083620207,6.896121825164623
256,3.9670111831734474,0.4612300051663152,0.7337549561757558,8.32251320533998,9.349895605269651,0.5021641276521913,0.4056785160616664,6.802940236285721,6.902532079156282
257,3.9575441671972857,0.46059385211455317,0.7320887567300386,8.330027058378592,9.356731002967065,0.5012647949407786,0.404809221082165,6.8099051694155275,6.908911805590803
258,3.9481223388499234,0.4599585085424829,0.7304301027750516,8.337509907392496,9.363539273853066,0.5003683665335359,0.40394274446421863,6.8168371195454736,6.91526122255118
259,3.9387453745798147,0.4593239845906427,0.7287789432055487,8.344961928606605,9.370320561840666,0.49947483129567893,0.403079075405806,6.823736320965708,6.921580546043023
260,3.9294129539244746,0.45869029015143037,0.7271352273764101,8.35238329713489,9.377075010074625,0.49858417810915734,0.40221820311997536,6.830603005747326,6.927869990019305
261,3.9201247594736146,0.4580574348738524,0.7254989050974784,8.359774186984799,9.383802760931633,0.49769639587349346,0.4013601168356983,6.837437403768651,6.934129766404732
262,3.9108804768328036,0.45742542816817916,0.7238699266284666,8.367134771061767,9.390503956020668,0.49681147350659416,0.4005048057986961,6.8442397427411255,6.940360085119785
263,3.901679794587649,0.45679427921051013,0.7222482426739317,8.374465221173834,9.397178736183484,0.4959293999455353,0.39965225927223924,6.85101024823485,6.946561154104418
264,3.8925224042684885,0.4561639969472483,0.7206338043783185,8.381765708036333,9.403827241495254,0.49505016414732417,0.3988024665379245,6.857749143703751,6.952733179341413
265,3.883408000315582,0.45553459009948793,0.719026563321067,8.389036401276687,9.410449611265342,0.4941737550896348,0.397955416896424,6.864456650510394,6.958876364879399
266,3.8743362800448002,0.4549060671673172,0.7174264715117853,8.396277469439266,9.41704598403821,0.4933001617715205,0.3971110996682118,6.871132987950463,6.964990912855569
267,3.8653069436137955,0.4542784364340356,0.7158334813854884,8.403489079990313,9.42361649759446,0.49242937321410396,0.39626950419426654,6.877778373276868,6.971077023518052
268,3.8563196939886533,0.453651705970291,0.714247545797898,8.410671399322979,9.430161288951986,0.4915613784612425,0.3954306198367511,6.884393021723544,6.977134895247981
269,3.847374236911012,0.45302588363813456,0.7126686180208042,8.417824592762372,9.436680494367254,0.4906961665801738,0.3945944359796706,6.890977146528892,6.983508662628148
270,3.838470280865641,0.4524009770949986,0.7110966517374908,8.424948824570714,9.443174249336684,0.48983372666213887,0.39376094202950773,6.897530958958919,6.990150811565924
271,3.829607537048484,0.4517769937975965,0.7095316010382184,8.432044257952535,9.449642688598148,0.4889740478229839,0.3929301274158381,6.9040546683300335,6.996762334267745
272,3.8207857193351327,0.45115394100574724,0.7079734204157684,8.439111055059922,9.456085946132587,0.48811711920374223,0.3921019815919229,6.910548482031532,7.003343442549584
273,3.8120045442497568,0.4505318257861264,0.7064220647610429,8.44614937699783,9.462504155165691,0.487262929971196,0.39127649403528386,6.917012605547792,7.009894346274163
274,3.8032637309344532,0.44991065501594446,0.7048774893587263,8.453159383829437,9.468897448169713,0.4864114693184195,0.39045365424825684,6.923447242480117,7.016415253373499
275,3.794563001119032,0.4492904353865552,0.703339649882999,8.460141234581535,9.475265956865352,0.48556272646530196,0.3896334517585275,6.929852594568329,7.022906369871082
276,3.785902079091212,0.44867117340699275,0.7018085023933105,8.467095087249985,9.481609812223734,0.4847166906590532,0.3888158761196475,6.936228861712033,7.029367899903785
277,3.7772806916672295,0.44805287540744293,0.7002840033302048,8.474021098805187,9.487929144468485,0.48387335117469144,0.38800091691153293,6.9425762419915955,7.03580004574345
278,3.7686985681628604,0.4474355475426466,0.6987661095112006,8.480919425197603,9.494224083077857,0.48303269731551224,0.3871885637409449,6.948894931688845,7.042203007818197
279,3.7601554403648287,0.446819195795238,0.6972547781267271,8.487790221363305,9.500494756786974,0.4821947184135429,0.38637880624195386,6.955185125307476,7.048576984733415
280,3.7516510425026173,0.4462038259790204,0.695749966736108,8.494633641229555,9.506741293590114,0.4813594038299772,0.3855716340763855,6.961447015593194,7.054922173292496
281,3.7431851112206584,0.44558944374217724,0.6942516332636013,8.501449837720413,9.512963820743089,0.48052674295559716,0.38476703693425174,6.96768079355356,7.061238768517262
282,3.7347573855509077,0.44497605457042366,0.6927597359944864,8.508238962762375,9.519162464765678,0.47969672521117646,0.38396500453416493,6.9738866484776025,7.067526963668127
283,3.7263676068857903,0.4443636637900973,0.6912742335712049,8.515001167290027,9.525337351444128,0.47886934004786996,0.3831655266237375,6.980064767955125,7.07378695026398
284,3.718015518951515,0.44375227657119015,0.6897950849895478,8.521736601251721,9.531488605833731,0.4780445769475883,0.38236859297996517,6.986215337895777,7.0800189181018
285,3.7097008677817493,0.4431418979303235,0.6883222495948934,8.528445413615271,9.537616352261434,0.4772224254233576,0.3815741934095972,6.992338542547868,7.0862230552760135
286,3.701423401691655,0.44253253273366555,0.6868556870784918,8.535127752373674,9.543720714328538,0.47640287501966394,0.38078231774949023,6.998434564516922,7.092399548197568
287,3.693182871252268,0.44192418569979447,0.6853953574737975,8.54178376455082,9.549801814913417,0.47558591531278693,0.37999295586695014,7.004503584783973,7.098548581612784
288,3.684979029265226,0.441316861402507,0.6839412211528482,8.54841359620724,9.555859776174326,0.47477153591111654,0.37920609766005864,7.010545782723651,7.104670338621918
289,3.6768116307378413,0.4407105642735735,0.6824932388226894,8.555017392445857,9.561894719552221,0.4739597264554589,0.37842173305798865,7.016561336121976,7.110765000697503
290,3.6686804328584977,0.4401052986054421,0.6810513715218441,8.56159529741773,9.567906765773653,0.4731504766193292,0.3776398520213041,7.022550421193965,7.11683274770243
291,3.660585194972386,0.43950106855389076,0.6796155806168278,8.568147454327828,9.573896034853693,0.47234377610923095,0.37686044454225,7.02851321260097,7.122873757907797
292,3.6525256785575544,0.43889787814063014,0.6781858277987056,8.574674005440794,9.579862646098912,0.47153961466492444,0.37608350064502705,7.034449883467806,7.12888820801051
293,3.64450164720129,0.4382957312558566,0.6767620750796948,8.581175092086708,9.585806718110371,0.470737982059683,0.375309010386059,7.040360605399636,7.134876273150664
294,3.6365128665767985,0.4376946316607587,0.675344284789808,8.58765085466687,9.591728368786697,0.469938868100537,0.37453696385424284,7.046245548498658,7.140838126928682
295,3.6285591044202103,0.43709458298997533,0.6739324195735402,8.594101432659562,9.597627715327148,0.46914226262850867,0.373767351171192,7.052104881380538,7.146773941422232
296,3.620640130507875,0.4364955887540081,0.6725264423865943,8.600526964625825,9.603504874234739,0.46834815551883324,0.3730001624914664,7.057938771190663,7.152683887202926
297,3.612755716633968,0.43589765234158956,0.6711263164926511,8.606927588215216,9.609359961319393,0.46755653668117236,0.372235388002793,7.063747383620156,7.158568133352787
298,3.6049056365883843,0.43530077702200515,0.6697320054601766,8.613303440171583,9.615193091701128,0.46676739605981454,0.3714730179262742,7.069530882921692,7.164426847480515
299,3.597089666134925,0.4347049659473739,0.66834347315927,8.619654656338813,9.621004379813252,0.465980723633868,0.3707130425165882,7.0752894319251,7.1702601957375265
300,3.5893075829897736,0.4341102221548855,0.6669606837585503,8.625981371666581,9.626793939405617,0.46519650941744184,0.36995545206217795,7.081023192052777,7.1760683428337915
301,3.581559166800247,0.4335165485689953,0.6655836017220819,8.632283720216098,9.632561883547865,0.4644147434598185,0.36920023688543124,7.086732323334887,7.1818514520534675
302,3.5738441991238292,0.43292394800357986,0.6642121918063376,8.638561835165836,9.638308324632721,0.46363541584561685,0.36844738734285076,7.092418855974873,7.18760968527032
303,3.566162463407478,0.4323324231640509,0.6628464190571997,8.644815848817249,9.644033374379303,0.46285851669494693,0.36769689382521553,7.0981233934712495,7.193343202962948
304,3.558513744967195,0.4317419766494307,0.6614862488069957,8.651045892600498,9.649737143836438,0.46208403616355387,0.3669487467577336,7.1038036152453685,7.199052164229816
305,3.550897830967869,0.4311526109543896,0.6601316466715748,8.657252097080129,9.655419743386021,0.4613119644429554,0.3662029366001851,7.109459676728926,7.20473672680409
306,3.543314510403375,0.4305643284712446,0.6587825785474142,8.663434591960769,9.66108128274637,0.4605422917605707,0.36545945384705847,7.11509173202915,7.210397047068272
307,3.535763574076929,0.4299771314919213,0.6574390106087661,8.669593506092793,9.666721870975607,0.45977500837983964,0.3647182890276771,7.120699933942935,7.21603328006866
308,3.5282448145817,0.4293910222098803,0.6561009093048357,8.675728967477976,9.672341616475054,0.4590101046003354,0.3639794327063184,7.126284433970744,7.221645579529621
309,3.520758026281671,0.4288060027220072,0.654768241356996,8.681841103275138,9.677940626992644,0.45824757075787026,0.36324287548232526,7.131845382330363,7.227234097867671
310,3.5133030052927388,0.42822207503046794,0.6534409737560349,8.687930039805758,9.683519009626334,0.457487397224591,0.3625086079902101,7.137382927970476,7.2327989862053785
311,3.5058795494640678,0.4276392410445302,0.6521190737594355,8.693995902559584,9.689076870827543,0.45672957440907,0.3617766208997516,7.142897218584058,7.238340394385108
312,3.4984874583596683,0.4270575025823508,0.6508025088886908,8.700038816200212,9.694614316404595,0.4559740927563882,0.3610469049160828,7.1483884006216085,7.243858470982549
313,3.491126533240222,0.42647686137273083,0.6494912469266488,8.706058904570659,9.700131451526161,0.45522094274821057,0.3603194507797748,7.153856619304217,7.249353363320125
314,3.4837965770451294,0.42589731905683764,0.6481852559148915,8.7120562906989,9.705628380724725,0.45447011490285527,0.3595942492669122,7.159407995452142,7.254825217480186
315,3.47649739437479,0.4253188771898966,0.6468845041511431,8.718031096803404,9.711105207900049,0.4537215997753573,0.3588712911891613,7.164997186242677,7.2602741783180615
316,3.4692287914731064,0.42474153724284996,0.6455889601867116,8.723983444298636,9.716562036322637,0.4529753879575238,0.3581505673938331,7.170563140477645,7.265700389474941
317,3.461990576210207,0.4241653006039873,0.6442985928239597,8.729913453800533,9.721998968637221,0.4522314700779849,0.3574320687639402,7.176106003022438,7.271103993390588
318,3.454782558065389,0.42359016858054455,0.6430133711138056,8.73582124513197,9.727416106866235,0.45148983680223853,0.3567157862182463,7.181625917538557,7.276485131315906
319,3.447604548110277,0.4230161424002745,0.6417332643532542,8.741706937328198,9.732813552413294,0.45075047883268726,0.35600171071131126,7.18712302649612,7.281843943325329
320,3.4404563589921886,0.42244322321298894,0.6404582420829583,8.74757064864226,9.73819140606669,0.4500133869086729,0.35528983323352914,7.192597471186211,7.287180568329077
321,3.4333378049177132,0.42187141209207135,0.6391882740848073,8.753412496550375,9.743549768002865,0.4492785518065022,0.35458014481116196,7.198049391733074,7.292495144085241
322,3.426248701636495,0.42130071003596387,0.6379233303795445,8.759232597757311,9.74888873778991,0.44854596433947,0.3538726365063669,7.203478927106149,7.297787807211731
323,3.4191888664252126,0.42073111796962526,0.6366633812244147,8.765031068201727,9.754208414391043,0.44781561535787495,0.3531672994172188,7.208886215131974,7.303058693198065
324,3.4121581180717726,0.42016263674596394,0.6354083971108366,8.770808023061482,9.7595088961681,0.4470874957490317,0.3524641246777277,7.2142713925059265,7.308307936417016
325,3.4051562768596777,0.4195952671472436,0.6341583487621046,8.77656357675894,9.764790280885014,0.446361596437277,0.3517631034578508,7.219634594803821,7.313535670136124
326,3.3981831645526124,0.4190290098864646,0.6329132071311176,8.782297842966221,9.770052665711304,0.44563790838397255,0.35106422696350037,7.224975956493377,7.318742026529046
327,3.391238604379201,0.4184638656087188,0.6316729433981326,8.78801093461045,9.775296147225545,0.4449164225875011,0.3503674864365457,7.23029561094553,7.323927136686774
328,3.384322421017962,0.41789983489252125,0.6304375289685465,8.793702963878964,9.780520821418843,0.4441971300832601,0.34967287315481244,7.235593690445614,7.329091130628737
329,3.37743444058245,0.4173369182511166,0.6292069354707038,8.799374042224505,9.785726783698319,0.4434800219436499,0.3489803784320755,7.240870326204399,7.334234137313723
330,3.370574490606573,0.4167751161337627,0.6279811347537279,8.805024280370375,9.790914128890552,0.4427650892780569,0.3482899936180489,7.2461256483690075,7.3393562846507105
331,3.3637424000300964,0.4162144289269903,0.6267600988853795,8.810653788315566,9.796082951245062,0.44205232323283505,0.3476017100983708,7.251359786033689,7.344457699509535
332,3.35693799918432,0.4156548569558402,0.62554380014994,8.816262675339868,9.801233344437744,0.4413417149912804,0.34691551929458486,7.2565728672504495,7.349538507731452
333,3.3501611197779337,0.41509640048507845,0.624332211046118,8.821851050008943,9.80636540157433,0.440633255773604,0.3462314126641174,7.261765019039582,7.354598834139544
334,3.3434115948830434,0.41453905972038885,0.6231253042849809,8.827419020179379,9.811479215193824,0.43992693683689976,0.34554938170025085,7.266936367400052,7.3596388025490285
335,3.336689258921368,0.4139828348095444,0.6219230527879097,8.8329666930037,9.816574877271927,0.4392227494751091,0.3448694179320937,7.272087037319755,7.364658535777414
336,3.3299939476506046,0.41342772584355764,0.6207254296845796,8.838494174935366,9.821652479224477,0.4385206850189818,0.3441915129245461,7.2772171527856555,7.369658155654564
337,3.323325498150953,0.41287373285781004,0.6195324083109601,8.84400157173374,9.826712111910856,0.43782073483603345,0.3435156582782626,7.282326836793805,7.374637783032604
338,3.316683748811816,0.41232085583316125,0.618343962207342,8.84948898846901,9.831753865637392,0.43712289033050056,0.3428418456296115,7.287416211359242,7.379597537795737
339,3.310068539318646,0.41176909469703826,0.6171600651163831,8.854956529527108,9.836777830160766,0.43642714294328966,0.3421700666506311,7.2924853975257635,7.384537538869935
340,3.30347971063996,0.4112184493245048,0.6159806909811804,8.860404298614574,9.8417840946914,0.4357334841519269,0.3415003130489809,7.29753451537559,7.389457904232495
341,3.2969171050145056,0.4106689195393123,0.6148058139433603,8.865832398763418,9.84677274789683,0.4350419054705015,0.3408325765678928,7.3025636840389065,7.394358750921517
342,3.290380565938583,0.41012050511493053,0.6136354083411941,8.871240932335931,9.851743877905069,0.43435239844960793,0.3401668489861174,7.3075730217033055,7.3992401950452305
343,3.2838699381535195,0.40957320577556167,0.612469448707732,8.876630001029469,9.856697572307977,0.43366495467628474,0.3395031221178664,7.312562645623087,7.404102351791229
344,3.2773850676332903,0.409027021197134,0.6113079097689599,8.881999705881226,9.8616339181646,0.43297956577395047,0.3388413878127544,7.317532672128488,7.4089453354355985
345,3.270925801572291,0.40848195100827983,0.6101507664419772,8.887350147272958,9.866553002004494,0.43229622340233687,0.33818163795573775,7.322483216634777,7.41376925935193
346,3.264491988373255,0.4079379947912945,0.6089979938331941,8.892681424935677,9.871454909831062,0.4316149192574201,0.3375238644670484,7.3274143936512335,7.41857423602022
347,3.2580834776353087,0.40739515208307886,0.6078495672365503,8.897993637954336,9.876339727124858,0.4309356450713484,0.33686805930212715,7.332326316790054,7.423360377035676
348,3.251700120142177,0.4068534223760646,0.6067054621317532,8.903286884772465,9.88120753884688,0.4302583926123673,0.33621421445155486,7.3372190987751225,7.4281277931174206
349,3.245341767850524,0.40631280511912315,0.6055656541825365,8.908561263196777,9.886058429441864,0.4295831536847451,0.33556232194097935,7.342092851450694,7.432876594117066
350,3.239008273878429,0.40577329971845844,0.6044301192349368,8.913816870401766,9.890892482841545,0.42890992012869056,0.3349123738310419,7.346947685789969,7.437606889027232
351,3.232699492494003,0.4052349055384836,0.6032988333155916,8.919053802934238,9.895709782467925,0.4282386838202751,0.3342643622172997,7.35178371190357,7.442318785989923
352,3.226415279104136,0.4046976219026816,0.6021717726300557,8.924272156717866,9.90051041123652,0.4275694366713467,0.3336182792301474,7.3566010390479235,7.447012392304833
353,3.220155490243377,0.40416144809445165,0.6010489135611347,8.929472027057646,9.905294451559572,0.4269021706294466,0.3329741170347369,7.361399775633538,7.451687814437537
354,3.213919983562945,0.4036263833579391,0.5999302326672392,8.934653508644397,9.910061985349293,0.42623687767772,0.3323318678308931,7.366180029233189,7.4563451580275935
355,3.207708617819869,0.4030924268988514,0.5988157066807569,8.93981669555917,9.914813094021056,0.4255735498348284,0.33169152385302914,7.370941906590002,7.460984527896562
356,3.2015212528662507,0.4025595778852595,0.5977053125064418,8.944961681277666,9.91954785849658,0.4249121791548566,0.3310530773700612,7.375685513625458,7.465606028055907
357,3.19535774963866,0.40202783544838455,0.5965990272198217,8.950088558674612,9.924266359207119,0.42425275772722115,0.3304165206853169,7.380410955447294,7.4702097617148295
358,3.189217970147643,0.4014971986833711,0.5954968280656243,8.955197420028092,9.928968676096606,0.42359527767657446,0.32978184613644723,7.385118336357306,7.474795831287993
359,3.183101777467363,0.4009676666500461,0.5943986924562187,8.960288357023892,9.93365488862481,0.42293973116270844,0.32914904609533324,7.389807759859079,7.4793643384031725
360,3.1770090357253538,0.40043923837366435,0.5933045979700762,8.965361460759752,9.938325075770468,0.42228611038045705,0.3285181129679925,7.39447932866562,7.483915383908801
361,3.1709396100923914,0.3999119128456414,0.5922145223502461,8.970416821749657,9.942979316034396,0.42163440755959547,0.32788903919448287,7.3991331447069,7.488449067881453
362,3.1648933667724912,0.3993856890242727,0.5911284435028502,8.97545452992804,9.947617687442586,0.4209846149647398,0.3272618172488071,7.403769309137315,7.492965489633207
363,3.1588701729930055,0.39886056583543983,0.5900463394955918,8.980474674654,9.952240267549305,0.42033672489524354,0.3266364396388117,7.408387922343064,7.497464747718956
364,3.152869896994851,0.398336542173305,0.5889681885562824,8.985477344715457,9.95684713344015,0.4196907296850937,0.3260128989060903,7.412989083949429,7.50194693994362
365,3.1468924080228353,0.39781361690099276,0.5878939690713844,8.990462628333308,9.96143836173511,0.41904662170280593,0.32539118762587926,7.417582993293301,7.506412163369276
366,3.140937576316101,0.3972917888512591,0.586823659584568,8.995430613165523,9.96601402859161,0.41840439335131674,0.3247712984069566,7.422221394686036,7.510860514322201
367,3.135005273098679,0.39677105682714975,0.5857572387952871,9.000381386311242,9.970574209707523,0.41776403706787624,0.32415322389153844,7.426842372907236,7.515292088399855
368,3.129095370570142,0.39625141960264587,0.5846946855573673,9.00531503431482,9.975118980324185,0.4171255453239383,0.32353695675517236,7.431446026085206,7.519706980477761
369,3.123207741896378,0.3957328759232986,0.5836359788776109,9.010231643169863,9.979648415229383,0.41648891062505045,0.3229224897066323,7.4360324516116565,7.524105284716325
370,3.1173422612004544,0.39521542450685243,0.5825810979144168,9.015131298323212,9.984162588760336,0.4158541255107424,0.32230981548781,7.440601746148623,7.528487094567564
371,3.111498803553594,0.3946990640438577,0.5815300219764155,9.02001408467892,9.988661574806644,0.41522118255441354,0.32169892687360824,7.445154005635288,7.532852502781767
372,3.105677244966252,0.3941837931982715,0.5804827305211177,9.024880086602192,9.993145446813246,0.4145900743632186,0.3210898166718288,7.44968932529474,7.53720160141409
373,3.09987746237929,0.393669610608049,0.5794392031535794,9.029729387923295,9.997614277783336,0.41396079357795423,0.3204824777230637,7.454230420780979,7.541534481831046
374,3.0940993336552545,0.3931565148857233,0.5783994196250793,9.034562071941439,10.002068140281278,0.4133333328729426,0.3198769029005831,7.458799628701248,7.545851234716961
375,3.0883427375697496,0.3926445046189752,0.5773633598318118,9.039378221428638,10.006507106435498,0.41270768495591525,0.31927308511022223,7.463351925456044,7.550151950080329
376,3.0826075538029087,0.3921335783711939,0.5763310038135929,9.044177918633537,10.010931247941368,0.41208384256789554,0.3186710172902689,7.467887404889811,7.554436717260103
377,3.076893662930962,0.3916237346820261,0.5753023317525815,9.048961245285202,10.015340636064062,0.4114617984830814,0.3180706924113491,7.472406160152926,7.558705624931927
378,3.071200946417895,0.3911149720679168,0.5742773239720127,9.053728282596909,10.01973534164141,0.4108415455087254,0.31747210347631105,7.476908283708111,7.562958761114283
379,3.065529286607206,0.3906072890226394,0.5732559609349451,9.058479111269873,10.024115435086717,0.4102230764850161,0.31687524352011087,7.48139386733678,7.56719621317458
380,3.059878566713748,0.39010068401781767,0.5722382232430221,9.063213811496974,10.028480986391584,0.40960638428495666,0.316280105609695,7.485863002145308,7.571418067835168
381,3.054248670815668,0.38959515550343715,0.5712240916352452,9.067932462966443,10.0328320651287,0.40899146181424484,0.31568668284388346,7.490315778571238,7.575624411179294
382,3.048639483846433,0.38909070190834816,0.570213546986762,9.072635144865528,10.037168740454627,0.4083783020111508,0.3150949683532519,7.494752286389409,7.5798153286569825
383,3.043050891586942,0.38858732164076015,0.5692065703076644,9.077321935884124,10.041491081112557,0.4077668978463952,0.31450495530001354,7.499172614718034,7.583990905090859
