,grado,lambda,MSE_entrenamiento_OLS,MSE_entrenamiento_ridge,MSE_prueba_OLS,MSE_prueba_ridge
68,1.0,0.68,1.2986975515837036,1.3442414786201187,2.6517024948013024,2.082071197818798
69,1.0,0.6900000000000001,1.2986975515837036,1.3454789836839671,2.6517024948013024,2.0757741851338607
70,1.0,0.7000000000000001,1.2986975515837036,1.346730187186568,2.6517024948013024,2.0695274560057957
71,1.0,0.71,1.2986975515837036,1.3479949902208919,2.6517024948013024,2.0633306511600544
72,1.0,0.72,1.2986975515837036,1.3492732947837038,2.6517024948013024,2.057183414603514
73,1.0,0.73,1.2986975515837036,1.350565003765016,2.6517024948013024,2.0510853935876066
74,1.0,0.74,1.2986975515837036,1.351870020937668,2.6517024948013024,2.0450362385719743
75,1.0,0.75,1.2986975515837036,1.3531882509470678,2.6517024948013024,2.0390356031885606
76,1.0,0.76,1.2986975515837036,1.3545195993010557,2.6517024948013024,2.0330831442062234
77,1.0,0.77,1.2986975515837036,1.3558639723599295,2.6517024948013024,2.0271785214957596
78,1.0,0.78,1.2986975515837036,1.357221277326587,2.6517024948013024,2.0213213979954303
79,1.0,0.79,1.2986975515837036,1.358591422236814,2.6517024948013024,2.015511439676925
80,1.0,0.8,1.2986975515837036,1.3599743159497066,2.6517024948013024,2.009748315511751
81,1.0,0.81,1.2986975515837036,1.3613698681382131,2.6517024948013024,2.0040316974380956
82,1.0,0.8200000000000001,1.2986975515837036,1.3627779892798237,2.6517024948013024,1.9983612603280805
83,1.0,0.8300000000000001,1.2986975515837036,1.364198590647364,2.6517024948013024,1.9927366819554782
84,1.0,0.84,1.2986975515837036,1.3656315842999365,2.6517024948013024,1.9871576429638136
85,1.0,0.85,1.2986975515837036,1.3670768830739637,2.6517024948013024,1.9816238268349184
86,1.0,0.86,1.2986975515837036,1.368534400574369,2.6517024948013024,1.9761349198578353
87,1.0,0.87,1.2986975515837036,1.3700040511658735,2.6517024948013024,1.9706906110981754
88,1.0,0.88,1.2986975515837036,1.3714857499643909,2.6517024948013024,1.9652905923678545
89,1.0,0.89,1.2986975515837036,1.3729794128285757,2.6517024948013024,1.9599345581951915
90,1.0,0.9,1.2986975515837036,1.374484956351449,2.6517024948013024,1.954622205795423
91,1.0,0.91,1.2986975515837036,1.37600229785215,2.6517024948013024,1.9493532350415923
92,1.0,0.92,1.2986975515837036,1.377531355367812,2.6517024948013024,1.9441273484357753
93,1.0,0.93,1.2986975515837036,1.3790720476455178,2.6517024948013024,1.9389442510807262
94,1.0,0.9400000000000001,1.2986975515837036,1.3806242941343894,2.6517024948013024,1.9338036506518312
95,1.0,0.9500000000000001,1.2986975515837036,1.3821880149777641,2.6517024948013024,1.9287052573694672
96,1.0,0.96,1.2986975515837036,1.383763131005491,2.6517024948013024,1.923648783971659
97,1.0,0.97,1.2986975515837036,1.385349563726311,2.6517024948013024,1.9186339456871366
98,1.0,0.98,1.2986975515837036,1.3869472353203518,2.6517024948013024,1.9136604602086877
99,1.0,0.99,1.2986975515837036,1.3885560686317178,2.6517024948013024,1.9087280476668729
100,2.0,0.0,0.4621871976939597,0.4621871976939597,1.4784646016971357,1.4784646016971357
